value list abb
921 934 10
10 16 2
869 891 3
349 366 4
758 785 5
764 787 6
447 468 6
0 1 3
406 428 7
748 778 7
343 359 5
72 65 6
954 957 2
777 803 7
663 692 8
598 623 9
343 359 5
355 373 8
232 229 7
727 763 9
618 640 10
785 816 8
651 678 11
308 320 8
372 392 9
680 712 10
855 875 9
389 412 10
884 906 4
834 850 10
638 665 12
158 157 8
196 198 9
859 877 10
507 530 10
306 317 9
976 975 3
307 319 10
658 687 12
734 770 10
55 57 7
353 369 9
806 828 11
9 10 4
130 131 9
821 842 12
608 634 11
825 846 13
177 184 10
192 196 11
553 574 11
795 821 12
329 345 9
556 580 12
103 98 10
702 734 11
236 234 10
310 322 10
443 464 8
473 496 11
496 520 12
434 453 9
631 660 13
692 724 12
645 669 13
490 514 13
351 367 10
621 648 14
797 823 13
9 10 4
355 373 8
204 208 10
363 383 11
513 533 12
566 592 13
845 862 11
335 354 10
526 548 13
671 702 11
512 532 13
718 751 12
576 598 14
659 689 13
400 425 11
484 510 14
114 113 11
454 477 12
721 755 13
424 448 10
249 251 11
546 569 14
920 933 5
35 34 8
529 551 15
964 963 4
681 714 13
19 24 9
315 327 11
654 681 13
817 838 13
325 338 12
10 16 2
21 27 10
40 38 9
523 545 14
587 614 15
237 235 12
210 213 11
113 111 12
908 926 6
74 67 11
184 190 12
836 852 12
733 768 11
936 946 3
321 334 13
847 865 12
390 414 12
394 416 13
623 652 15
991 993 4
940 947 4
543 565 16
27 29 11
469 490 13
860 878 11
708 741 13
840 858 13
175 178 11
362 382 12
9 10 4
852 871 13
724 759 14
31 31 12
892 911 7
600 625 12
970 970 5
130 131 9
810 833 14
436 454 10
390 414 12
885 907 8
972 973 6
227 226 12
970 970 5
908 926 6
548 571 15
170 168 12
650 675 14
294 305 12
793 820 13
993 996 5
234 233 11
689 721 14
20 25 11
55 57 7
549 572 16
80 76 12
247 247 13
76 70 13
795 821 12
257 261 13
929 937 4
519 541 15
288 299 14
173 174 13
471 493 14
610 636 12
303 314 13
634 662 14
398 423 14
46 47 10
871 893 5
370 390 12
273 281 15
841 859 14
630 658 16
173 174 13
11 19 11
632 661 15
467 486 14
157 155 11
626 655 17
53 53 11
198 199 11
646 670 15
460 482 15
99 93 13
79 73 14
707 738 14
175 178 11
874 897 6
964 963 4
104 100 13
745 774 11
604 630 13
278 288 16
217 221 13
567 593 15
933 941 5
203 205 12
965 965 7
979 981 5
74 67 11
688 720 15
604 630 13
915 931 8
670 701 12
129 130 12
279 289 17
303 314 13
948 954 5
436 454 10
281 293 18
353 369 9
986 988 6
279 289 17
813 836 15
85 79 14
358 376 13
873 895 7
260 266 16
232 229 7
189 193 13
365 386 13
330 348 11
